127.0.0.1 - - [30/Aug/2023:14:01:06 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:54 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a4.png HTTP/1.1" 200 25844
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a3.png HTTP/1.1" 200 13082
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a5.png HTTP/1.1" 200 27718
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a6.png HTTP/1.1" 200 14288
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a8.png HTTP/1.1" 200 12550
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a7.png HTTP/1.1" 200 20188
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a9.png HTTP/1.1" 200 12608
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/a10.png HTTP/1.1" 200 15812
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n1.png HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n2.png HTTP/1.1" 200 7382
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n3.png HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n4.png HTTP/1.1" 200 7646
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n6.png HTTP/1.1" 200 13104
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n5.png HTTP/1.1" 200 11158
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n7.png HTTP/1.1" 200 11516
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n9.png HTTP/1.1" 200 21236
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/n10.png HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/c1.png HTTP/1.1" 200 16550
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/c4.png HTTP/1.1" 200 23532
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/c2.png HTTP/1.1" 200 17744
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/c6.png HTTP/1.1" 200 12672
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/c5.png HTTP/1.1" 200 28258
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j1.png HTTP/1.1" 200 7136
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/c3.png HTTP/1.1" 200 15968
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j3.png HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j2.png HTTP/1.1" 200 16252
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j4.png HTTP/1.1" 200 13210
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j5.png HTTP/1.1" 200 14614
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j8.png HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j6.png HTTP/1.1" 200 9874
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/j7.png HTTP/1.1" 200 18202
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b1.png HTTP/1.1" 200 17978
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b2.png HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b3.png HTTP/1.1" 200 32120
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b4.png HTTP/1.1" 200 21052
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b5.png HTTP/1.1" 200 25838
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b6.png HTTP/1.1" 200 15900
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b7.png HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b8.png HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b9.png HTTP/1.1" 200 11078
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/Giay/b10.png HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:55 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:02:57 +0700] "GET /Project/dangKyController HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:03:44 +0700] "POST /Project/dangKyController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:14:03:44 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:19:38 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:19:38 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:23:51 +0700] "GET /Project/matHangController?maGiay=1 HTTP/1.1" 200 4620
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:21 +0700] "GET /Project/matHangController?maGiay=3 HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:23 +0700] "POST /Project/gioHangController?maGiay=3&tenGiay=Adidas%20Alphabounce%20Beyond%20Grey&gia=900000&anh=Giay/a5.png&mauGiay=X%C3%A1m HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:23 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:24 +0700] "POST /Project/xoaController?mg=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:24 +0700] "GET /Project/gioHangController HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:24 +0700] "GET /Project/noEmpty.png HTTP/1.1" 200 12775
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:34 +0700] "GET /Project/gioHangController HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:36 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:36 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:37 +0700] "GET /Project/matHangController?maGiay=5 HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:38 +0700] "POST /Project/gioHangController?maGiay=5&tenGiay=Adidas%20Alphabounce%20Beyond%20Dark%20Grey&gia=650000&anh=Giay/a7.png&mauGiay=%C4%90en HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:38 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:42 +0700] "POST /Project/gioHangController?mg=5 HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:43 +0700] "POST /Project/gioHangController?mg=5 HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:43 +0700] "POST /Project/gioHangController?mg=5 HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:43 +0700] "POST /Project/gioHangController?mg=5 HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:30:47 +0700] "POST /Project/gioHangController?mg=5 HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:02 +0700] "GET /Project/muaHangController?btnXacNhan=Mua+h%C3%A0ng HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:02 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:17 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:23 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:23 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:25 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:25 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:25 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:25 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:27 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:27 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:27 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:27 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:27 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:27 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:30 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:31 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:31 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:33 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:33 +0700] "GET /Project/dangNhapController HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:35 +0700] "POST /Project/dangNhapController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:35 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36761
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:35 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:37 +0700] "GET /Project/lichSuController HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:43 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5682
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:45 +0700] "GET /Project/muaHangController?btnXacNhan=Mua+h%C3%A0ng HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:45 +0700] "GET /Project/lichSuController HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:31:47 +0700] "GET /Project/lichSuController HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:48 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36761
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:48 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:49 +0700] "GET /Project/matHangController?maGiay=1 HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:58 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36761
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:58 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:59 +0700] "GET /Project/trangChuController?maLoai=1&tenLoai=Adidas HTTP/1.1" 200 18150
0:0:0:0:0:0:0:1 - - [30/Aug/2023:15:56:59 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
